scenario,mineral,year,value,Unit
STEPS,copper,2023,4143.5,kt
STEPS,copper,2030,6104,kt
STEPS,copper,2035,6168.2,kt
STEPS,copper,2040,6125.2,kt
STEPS,copper,2045,6312.1,kt
STEPS,copper,2050,6084.4,kt
STEPS: higher DC deployment,copper,2023,4118.4,kt
STEPS: higher DC deployment,copper,2030,5954.34,kt
STEPS: higher DC deployment,copper,2035,5923,kt
STEPS: higher DC deployment,copper,2040,5790.91,kt
STEPS: higher DC deployment,copper,2045,5868.96,kt
STEPS: higher DC deployment,copper,2050,5565.44,kt
APS,copper,2023,4143.5,kt
APS,copper,2030,6807.7,kt
APS,copper,2035,7542,kt
APS,copper,2040,8186.3,kt
APS,copper,2045,8471.3,kt
APS,copper,2050,8096,kt
APS: higher DC deployment,copper,2023,4118.4,kt
APS: higher DC deployment,copper,2030,6645.61,kt
APS: higher DC deployment,copper,2035,7251.26,kt
APS: higher DC deployment,copper,2040,7745.24,kt
APS: higher DC deployment,copper,2045,7878.29,kt
APS: higher DC deployment,copper,2050,7406.93,kt
NZE,copper,2023,4143.5,kt
NZE,copper,2030,7939.7,kt
NZE,copper,2035,9793.4,kt
NZE,copper,2040,10510.1,kt
NZE,copper,2045,10437.8,kt
NZE,copper,2050,9245.5,kt
NZE: higher DC deployment,copper,2023,4118.4,kt
NZE: higher DC deployment,copper,2030,7755.7,kt
NZE: higher DC deployment,copper,2035,9422.8,kt
NZE: higher DC deployment,copper,2040,9934.3,kt
NZE: higher DC deployment,copper,2045,9685.9,kt
NZE: higher DC deployment,copper,2050,8447.6,kt
